"Ascii Code","Char","Count"
10, " ", 673
32, " ", 5835
34, """", 82
39, "'", 24
40, "(", 45
41, ")", 60
44, ",", 313
45, "-", 24
46, ".", 218
47, "/", 20
48, "0", 14
49, "1", 28
50, "2", 13
51, "3", 9
52, "4", 5
53, "5", 5
54, "6", 8
55, "7", 8
56, "8", 2
57, "9", 4
58, ":", 11
59, ";", 17
60, "<", 10
62, ">", 10
65, "A", 124
66, "B", 22
67, "C", 78
68, "D", 49
69, "E", 122
70, "F", 46
71, "G", 69
72, "H", 46
73, "I", 129
74, "J", 1
75, "K", 3
76, "L", 141
77, "M", 33
78, "N", 99
79, "O", 94
80, "P", 104
81, "Q", 3
82, "R", 106
83, "S", 104
84, "T", 144
85, "U", 60
86, "V", 13
87, "W", 23
88, "X", 3
89, "Y", 48
96, "`", 4
97, "a", 1793
98, "b", 300
99, "c", 1087
100, "d", 870
101, "e", 3104
102, "f", 663
103, "g", 456
104, "h", 1013
105, "i", 2037
106, "j", 27
107, "k", 174
108, "l", 800
109, "m", 623
110, "n", 1803
111, "o", 2505
112, "p", 672
113, "q", 32
114, "r", 2073
115, "s", 1576
116, "t", 2300
117, "u", 764
118, "v", 314
119, "w", 392
120, "x", 53
121, "y", 598
122, "z", 11
